sample_idx,vacancy_concentration_pred,vacancy_concentration_pred_platt,vacancy_concentration_std,vacancy_concentration_true,dopant_label,vacancy_concentration_pred_per_dopant_platt,_platt_bucket
142,17.124226760864257,17.11046462347563,0.05101267285645,15.204119682312012,Sn,17.251066609671778,per_dopant:Sn
143,16.98900489807129,16.954130794139683,0.0948140025138855,,Si,16.99300613780505,per_dopant:Si
144,17.877045822143554,18.00604196859214,0.1071824200451374,,Ta,18.166141102880545,global_fallback
145,16.90799903869629,16.827900477060133,0.0465937085449695,,undoped,16.84863714282329,global_fallback
146,17.717140197753906,17.856953391008936,0.1088466584682464,,undoped,17.94873540382922,global_fallback
147,17.096409225463866,17.076634201807266,0.0691117241978645,,undoped,17.10479729052881,global_fallback
148,17.1049015045166,17.088065342605717,0.0786760166287422,,undoped,17.116343287557033,global_fallback
149,16.804396438598634,16.703611902906186,0.0643770460039377,,undoped,16.707780335667586,global_fallback
150,16.93811454772949,16.867670963776618,0.0503464668989181,,undoped,16.889581814523492,global_fallback
151,16.513852691650392,16.33073283711437,0.0450603701174259,16.698970794677734,Zn,16.950834475035492,per_dopant:Zn
152,16.331440925598145,16.103167181443837,0.0435950808227062,16.301029205322266,Zn,15.848626650871608,per_dopant:Zn
153,16.453128814697266,16.259965847058396,0.0566778264939785,,Mg,16.316446014547328,per_dopant:Mg
154,16.950837326049804,16.894546010343717,0.0737447015941143,,undoped,16.906879545764404,global_fallback
155,17.366074752807616,17.409615118650795,0.0831373561173677,,undoped,17.471431189154874,global_fallback
156,17.15869598388672,17.15581687499085,0.061974611878395,,undoped,17.189481592961876,global_fallback
157,16.936387634277345,16.872133016238653,0.0598989825695753,,undoped,16.8872339244621,global_fallback
158,18.052016830444337,18.270156859213305,0.1407950177788734,,Sn,19.19554797582541,per_dopant:Sn
159,17.2429141998291,17.260097041278893,0.0617923337966203,,Sn,17.499814166937714,per_dopant:Sn
160,17.070562744140624,17.041125530216366,0.0565494388341903,,undoped,17.0696567358326,global_fallback
161,16.971419906616212,16.912956188162287,0.0685215719044208,,undoped,16.934863366429877,global_fallback
162,17.275526428222655,17.26262717788706,0.0702838450670242,,undoped,17.34832281270183,global_fallback
163,16.917991638183594,16.83255906161241,0.0623362407088279,,undoped,16.8622229568631,global_fallback
164,16.543971633911134,16.375362920181196,0.0761719696223735,,B,16.353710008688793,global_fallback
165,17.36656837463379,17.39531004729254,0.0782527472823858,,undoped,17.472102311253273,global_fallback
166,17.163048934936523,17.17232049911065,0.0843618668615818,,V,17.195399811095424,global_fallback
167,17.237541580200194,17.254638152283764,0.0784396156668663,,undoped,17.296679085539626,global_fallback
168,16.810593795776366,16.70211027289924,0.0814317740499973,,undoped,16.716206185443905,global_fallback
169,16.922036743164064,16.84075954676414,0.0844423852860927,,undoped,16.86772263130777,global_fallback
170,17.019682693481446,16.95838720826122,0.057070480287075,,undoped,17.00048085147239,global_fallback
171,15.621703720092771,15.183232998851867,0.260428723692894,,Al,15.09980601824687,global_fallback
172,17.006378173828125,16.95358791190575,0.0660085022449493,16.17609214782715,Sn,17.004077135400937,per_dopant:Sn
173,17.025139236450194,16.97630937567695,0.072667434066534,16.698970794677734,Sn,17.043396953400677,per_dopant:Sn
174,17.008290100097657,16.955050471815365,0.0647346913814544,17.301029205322266,Sn,17.008084189503432,per_dopant:Sn
175,17.100912475585936,17.050315726212435,0.0883767500519752,16.0,Sn,17.202204054687325,per_dopant:Sn
176,17.10929145812988,17.087103213410142,0.0634236045181751,,undoped,17.122311813915882,global_fallback
177,17.442598342895508,17.513346660893742,0.0929195575416088,,undoped,17.57547171093437,global_fallback
178,17.466355514526366,17.543056367671163,0.0850533105432987,,undoped,17.6077716661461,global_fallback
179,17.452342224121093,17.52533509841391,0.0843332268297672,,undoped,17.58871937071749,global_fallback
180,17.08668212890625,17.05675773939267,0.0650160476565361,15.698969841003418,Si,17.111400900616356,per_dopant:Si
181,17.068103408813478,17.034436580728794,0.0695487819612026,16.301029205322266,Si,17.088881597602555,per_dopant:Si
182,17.079779815673827,17.048846110186823,0.0719928875565528,17.0,Si,17.103034593228067,per_dopant:Si
183,17.08033676147461,17.048383605192964,0.0683360666036605,18.0,Si,17.10370966832406,per_dopant:Si
184,16.79430809020996,16.69129668554939,0.0789292722940444,16.0,Sn,16.559616325316174,per_dopant:Sn
185,16.813952255249024,16.715445322946216,0.0909696243703365,17.0,Sn,16.600786967387602,per_dopant:Sn
186,16.82212028503418,16.72673474506475,0.0781975768506526,18.0,Sn,16.61790569093959,per_dopant:Sn
187,17.431447982788086,17.490486387483905,0.0779854319989681,,undoped,17.560311819948165,global_fallback
188,17.423460006713867,17.480764417500684,0.0732526630163192,,undoped,17.549451466980287,global_fallback
189,16.901421356201173,16.81879110600959,0.0855743169784545,,undoped,16.839694207473475,global_fallback
190,17.77913818359375,17.923718170142664,0.1183150961995124,15.0,Si,17.950728240787384,per_dopant:Si
191,17.7817684173584,17.926806915061768,0.0945041924715042,17.0,Si,17.95391635228524,per_dopant:Si
192,17.777786636352538,17.92250542958164,0.1156142190098762,18.0,Si,17.94909002772909,per_dopant:Si
193,18.2082462310791,18.441227554855868,0.1333364032208919,19.0,Si,18.47085094562011,per_dopant:Si
194,17.734137344360352,17.84787064098975,0.1253553315997123,20.414974212646484,Sn,18.529329660239686,per_dopant:Sn
195,17.355330657958984,17.383311622840914,0.0932911455631256,,undoped,17.45682365136403,global_fallback
196,17.15262222290039,17.138693718892235,0.062597868591547,,undoped,17.1812237830309,global_fallback
197,17.49556541442871,17.557954104613568,0.0852129057049751,,undoped,17.64748508293008,global_fallback
198,17.280955123901368,17.2917617414156,0.0774000108242034,,undoped,17.35570359985971,global_fallback
199,17.491544723510742,17.5666127927698,0.0916249573230743,,undoped,17.642018601541277,global_fallback
200,17.288807678222657,17.309375942775166,0.1014577001333236,,undoped,17.366379835095803,global_fallback
201,17.747889709472656,17.86816534959208,0.1305154681205749,,undoped,17.99054205769908,global_fallback
202,16.444622421264647,16.24923909590384,0.0556335590779781,16.301029205322266,Mg,16.305955915177364,per_dopant:Mg
203,17.259879684448244,17.27983133033301,0.0808667622506618,,undoped,17.32704969437884,global_fallback
204,16.556125259399415,16.37189298913492,0.0651108652353286,16.0,Sn,16.06042788664443,per_dopant:Sn
205,17.32521743774414,17.377289529656196,0.087951523810625,,undoped,17.415882091512813,global_fallback
206,18.17579803466797,18.42168671956752,0.1174570441246032,,undoped,18.57232089708674,global_fallback
207,17.73035087585449,17.849261818370397,0.1014929011464118,17.477121353149414,Si,17.891593049518995,per_dopant:Si
