sample_idx,photo_dark_ratio_pred,photo_dark_ratio_pred_platt,photo_dark_ratio_std,photo_dark_ratio_true,dopant_label,method,atmosphere,concentration_at%,doi,element,is_sputter,photo_dark_ratio_pred_rank,photo_dark_ratio_pred_refined,photo_dark_ratio_alpha
75,3.6350259304046633,4.701251056757476,0.2661887347698212,4.309630393981934,Mg,RF magnetron sputtering,O2_plasma,3.0,10.1016/j.mssp.2024.108361,Mg,True,6.201251056757476,4.701251057217502,3.0668394093179414e-10
76,3.6871747016906737,4.809743609002945,0.3073262363672256,4.309630393981934,Mg,RF magnetron sputtering,,0.83,10.1088/1674-4926/37/4/042002,F,True,3.309743609002945,4.208089774079428,0.4011025566156783
77,3.1558863162994384,3.7044283448457622,0.1609679486602545,,F,RF magnetron sputtering,,1.25,10.1088/1674-4926/37/4/042002,F,True,,3.7044283448457622,0.0
78,3.176884174346924,3.748113194077692,0.1695128606632351,,F,RF magnetron sputtering,,1.67,10.1088/1674-4926/37/4/042002,F,True,,3.748113194077692,0.0
79,3.253079128265381,3.90663246145412,0.1367994889616966,,F,RF magnetron sputtering,,2.5,10.1088/1674-4926/37/4/042002,F,True,,3.90663246145412,0.0
80,3.256448173522949,3.9136415684687296,0.1980334678664803,,F,RF magnetron sputtering,,5.0,10.1063/1.4803802,W,True,,3.9136415684687296,0.0
81,2.858652925491333,3.0860511830046184,0.1276627756655216,,W,RF magnetron sputtering,,11.0,10.1063/1.4803802,W,True,1.5860511830046184,3.086051182898807,7.054077989578087e-11
82,2.9944424629211426,3.368553591415987,0.1483944553881883,,W,RF magnetron sputtering,,1.5,10.1016/j.optmat.2019.109223,Ti,True,1.8685535914159872,3.36855359127302,9.531188088805628e-11
83,2.582068848609924,2.5106337441785818,0.0716268699616193,,Ti,RF magnetron sputtering,,5.0,10.1016/j.optmat.2019.109223,Ti,True,2.5863875335415636,2.513139160330225,0.033073146211053166
84,2.660756254196167,2.6743384154699643,0.0832206949591636,,Ti,RF magnetron sputtering,Ar,10.0,10.1007/s11082-022-03851-0,Al,True,2.586387533541564,2.6714296030925553,0.033073146211053166
85,3.1138330459594727,3.61693890804909,0.0784600600600242,,Al,RF magnetron sputtering,,0.5,10.1016/j.optmat.2022.112491,Ta,True,,3.61693890804909,0.0
86,2.561592626571655,2.4680341289912406,0.0317282617092132,,Ta,RF magnetron sputtering,,1.0,10.1016/j.optmat.2022.112491,Ta,True,3.9169339832959165,2.514772833968811,0.032258064516129045
87,2.551099109649658,2.446202963945097,0.027961141988635,,Ta,RF magnetron sputtering,,1.3,10.1016/j.optmat.2022.112491,Ta,True,2.3074960708618164,2.440868083441894,0.038461538461538464
88,2.546275758743286,2.436168256754438,0.030624059215188,,Ta,RF magnetron sputtering,,1.5,10.1016/j.optmat.2022.112491,Ta,True,1.6143488903018712,2.4148222991842414,0.02597402597402598
