sample_idx,element,n_within,n_cross,sigma_reg,sigma_rank,y_reg,y_rank,y_fused,alpha
112,Mg,17,0,0.24354577695059304,31622.776601683792,3.698927545917169,2.198927545917169,3.698927545828197,5.93145454669498e-11
113,Mg,19,0,0.3951115890831468,31622.776601683792,3.801310055541648,2.301310055541648,3.8013100553074786,1.5611316780343814e-10
114,Mg,8,0,0.2573644391307879,31622.776601683792,3.6486866215771743,5.148686621577174,3.6486866216765286,6.623645452471776e-11
118,Mg,8,0,0.2,31622.776601683792,-1.5755042776890815,-0.07550427768908152,-1.5755042776290813,3.999999999840001e-11
119,Mg,5,0,0.2,31622.776601683792,-1.5755409161816272,-0.07554091618162717,-1.575540916121627,3.999999999840001e-11
120,Mg,18,0,0.2,31622.776601683792,-1.5746290248116046,-0.0746290248116046,-1.5746290247516044,3.999999999840001e-11
122,W,0,12,1.7126786630811957,31622.776601683792,5.1060362894305005,6.6060362894305005,5.106036293830402,2.9332681943695296e-09
123,W,0,12,1.6688051569417188,31622.776601683792,5.693479324797715,7.193479324797715,5.69347932897508,2.7849106440795473e-09
124,Ta,0,12,0.5029087336098017,31622.776601683792,6.817397651181906,8.317397651181906,6.817397651561282,2.529171942770474e-10
125,Ta,0,12,0.4818253014840378,31622.776601683792,6.7144666601925245,8.214466660192524,6.714466660540758,2.321556210962877e-10
126,Ta,0,12,0.41474629624428216,31622.776601683792,6.8841957295078995,8.3841957295079,6.8841957297659215,1.720144902187609e-10
127,Ta,0,12,0.5025853870170756,31622.776601683792,6.920099416730746,8.420099416730746,6.9200994171096335,2.525920711793009e-10
128,Ta,0,12,0.5274794139575856,31622.776601683792,6.9027806831390155,8.402780683139015,6.902780683556366,2.782345320716235e-10
129,Ta,0,12,0.6338835570832914,31622.776601683792,6.9521032965440535,8.452103296544053,6.952103297146767,4.0180836377911635e-10
130,Ta,0,12,0.4440387045972257,31622.776601683792,7.0753257494135,8.5753257494135,7.075325749709256,1.9717037114150611e-10
131,Ta,0,12,2.688817118466252,31622.776601683792,14.856175084171108,16.356175084171106,14.856175095015715,7.2297374442880556e-09
132,Ta,0,12,0.4679741098664932,31622.776601683792,7.351907224443913,8.851907224443913,7.351907224772412,2.1899976745737574e-10
133,Ta,0,12,0.5627243254392207,31622.776601683792,7.453175234966087,8.953175234966087,7.4531752354410745,3.1665866634075324e-10
134,Ta,0,12,0.7364969896235434,31622.776601683792,7.585961430413208,9.085961430413208,7.58596143122685,5.424278154303139e-10
135,Ta,0,12,0.6695688174777895,31622.776601683792,7.633950183484933,9.133950183484933,7.633950184157414,4.4832240113761245e-10
136,Sn,11,0,0.3590097263862282,31622.776601683792,1.920432174704059,0.4204321747040589,1.920432174510727,1.2888798362330234e-10
137,Sn,11,0,0.36920486530042995,31622.776601683792,1.8365262689806034,0.33652626898060345,1.836526268776135,1.363122325429276e-10
138,Sn,11,0,0.47856375638220394,31622.776601683792,2.2044470362028505,0.7044470362028505,2.204447035859315,2.290232688701938e-10
139,Sn,11,0,0.301050867872894,31622.776601683792,2.0322810374089326,0.5322810374089326,2.032281037272985,9.063162503880859e-11
140,Sn,11,0,0.3502188850381473,31622.776601683792,1.9561573667068122,0.4561573667068122,1.9561573665228325,1.2265326742231922e-10
141,Sn,11,0,0.301201997296851,31622.776601683792,1.9874043641570198,0.4874043641570198,1.9874043640209358,9.072264316738163e-11
142,Sn,11,0,0.34099588926376734,31622.776601683792,5.712374453017432,4.212374453017432,5.712374452843014,1.1627819648126685e-10
143,Sn,11,0,0.41218679174519746,31622.776601683792,5.7364936979199825,7.2364936979199825,5.736493698174829,1.6989795126033345e-10
145,Zn,2,12,0.2,31622.776601683792,1.4530552800183432,2.953055280018343,1.4530552800783432,3.999999999840001e-11
146,Zn,2,12,0.2097339342196063,31622.776601683792,1.3896896334598035,2.8896896334598035,1.389689633525786,4.398832316129917e-11
147,Zn,2,12,0.2,31622.776601683792,1.4547175558991554,2.9547175558991556,1.4547175559591554,3.999999999840001e-11
148,Zn,1,12,0.2,31622.776601683792,1.6079988386945276,0.10799883869452764,1.6079988386345274,3.999999999840001e-11
149,Zn,1,12,0.2,31622.776601683792,1.5990271052634981,0.09902710526349812,1.5990271052034981,3.999999999840001e-11
150,Zn,2,12,0.2892422868171954,31622.776601683792,1.6799973909154282,0.1799973909154282,1.6799973907899366,8.366110047624153e-11
151,Si,0,12,0.2,31622.776601683792,-1.8030791071689731,-0.3030791071689731,-1.8030791071089731,3.999999999840001e-11
