sample_idx,vacancy_concentration_pred,vacancy_concentration_pred_platt,vacancy_concentration_std,vacancy_concentration_true,dopant_label,method,atmosphere,concentration_at%,doi,element,is_sputter,vacancy_concentration_pred_rank,vacancy_concentration_pred_refined,vacancy_concentration_alpha
62,3.1891098022460938,6.017255562319942,1.2982751875184475,,undoped,RF magnetron sputtering+AlN,Ar,0.0,DOI:10.3390/coatings15111312,—,True,,6.017255562319942,0.0
63,1.721690559387207,4.812647219094318,0.5503845684230327,,undoped,RF magnetron sputtering,Ar,1.01,DOI:10.1016/j.surfcoat.2025.131940,Mg,True,,4.812647219094318,0.0
64,15.173155593872073,15.85499049488469,2.9990628242492674,16.301029205322266,Mg,RF magnetron sputtering,Ar:O2=1:1,0.0,DOI:10.1016/j.vacuum.2017.09.007,—,True,,15.85499049488469,0.0
65,3.3376157760620115,6.1391645095741545,1.3874202938750386,,undoped,RF magnetron sputtering,Ar,0.0,DOI:10.1109/LED.2022.3173041,—,True,,6.1391645095741545,0.0
66,-1.612405014038086,2.075679331829157,0.0061877575702965,,undoped,RF magnetron sputtering,,5.0,10.1016/j.surfcoat.2018.12.130,V,True,,2.075679331829157,0.0
67,8.619604873657227,10.475163350228481,2.135419031046331,,V,RF magnetron sputtering,,4.92,10.1016/j.matlet.2017.08.052,Mg,True,,10.475163350228481,0.0
68,-0.1200448036193847,3.3007617813859333,0.2903318395838141,,Mg,RF magnetron sputtering,,6.88,10.1016/j.matlet.2017.08.052,Mg,True,1.8007617813859333,3.3007617813007286,5.680317950269522e-11
69,-0.0616323471069335,3.348712721654453,0.2094417164102196,,Mg,RF magnetron sputtering,,8.58,10.1016/j.matlet.2017.08.052,Mg,True,1.848712721654453,3.348712721594453,3.999999999840001e-11
70,-0.0652631759643554,3.3457321646283957,0.2676292199641466,,Mg,RF magnetron sputtering,O2_plasma,1.91,10.1016/j.mssp.2022.106471,Mg,True,4.845732164628396,3.345732164700796,4.826700711993202e-11
71,9.672323036193848,11.339342478196146,2.147822380065918,11.7347993850708,Mg,RF magnetron sputtering,O2_plasma,3.28,10.1016/j.mssp.2022.106471,Mg,True,,11.339342478196146,0.0
72,9.665263748168943,11.33354748995852,1.941863226890564,11.7347993850708,Mg,RF magnetron sputtering,O2_plasma,5.22,10.1016/j.mssp.2022.106471,Mg,True,,11.33354748995852,0.0
73,9.30818920135498,11.040424048693293,2.1771155834198,11.7347993850708,Mg,RF magnetron sputtering,O2_plasma,1.0,10.1016/j.mssp.2024.108361,Mg,True,,11.040424048693293,0.0
74,-6.583568954467774,-2.0051623140234,0.0060336811468005,,Mg,RF magnetron sputtering,O2_plasma,2.0,10.1016/j.mssp.2024.108361,Mg,True,-0.5051623140234001,-2.0051623139634,3.999999999840001e-11
75,-6.58488655090332,-2.006243932427266,0.0071488705463707,,Mg,RF magnetron sputtering,O2_plasma,3.0,10.1016/j.mssp.2024.108361,Mg,True,-0.5062439324272661,-2.0062439323672656,3.999999999840001e-11
76,-6.584930419921875,-2.0062799446207937,0.0069188570603728,,Mg,RF magnetron sputtering,,0.83,10.1088/1674-4926/37/4/042002,F,True,-0.5062799446207937,-2.006279944560794,3.999999999840001e-11
