doi,element,conc_at,atmosphere,T_C,method,source,pred_PDR,meas_PDR,pred_dark,meas_dark,pred_VO,meas_VO,meas_VO_log10,pred_n,pred_mu,pred_sigma,pred_Eg,pred_dEg,meas_n,meas_mu,meas_sigma
DOI:10.1088/2752-5724/ad19e1,H,2.0,Ar+H2,,RF magnetron sputtering,exp,31.850665739398245,4.0,2.8907820978524454,,407510691433920.06,2.0000000000000003e+17,17.30102999566398,2.735257062913495e-30,37.971582562916225,1.0735827914748915e-47,4.903044196720766,0.0014997062164191898,,,
ACS Omega 2024 review,Ta,0.5,N2+O2,800.0,MOCVD,exp,32.01250882120961,3.0,0.9334406607212173,,1692242567040.3748,,,2083.9489168577334,82.04912008015071,1.767419704478177e-14,4.903044086874013,0.0008852168728442988,,,
DOI:10.1007/s00339-026-09375-8,Ta,0.5,N2+O2,800.0,MOCVD,exp,32.01250882120961,5.0,0.9334406607212173,0.1,1692242567040.3748,,,2083.9489168577334,82.04912008015071,1.767419704478177e-14,4.903044086874013,0.0008852168728442988,,,
ε-PMC review 2025,Zr,2.0,O2,600.0,PLD,exp,23.327349343832594,7.220108088040055,0.2686791585082684,,58315671171.0234,100000000000000.0,14.0,306470206046220.06,37.83663200609406,0.0011986142235243442,4.90251312589593,-0.00032249031441248984,,,
DOI:10.1016/j.mssp.2021.106471,Mg,1.91,O2_plasma,50.0,PE-ALD,exp,31.778466058685115,1.9030899869919435,3.8435611804538343,,2.9964483662927213e+19,4.999999999999999e+16,16.69897000433602,2.6978265730425586e-46,38.00433842492535,1.0598048445522047e-63,4.903044196720766,3.623737506958607e-06,,,
DOI:10.1016/j.mssp.2021.106471,Mg,3.28,O2_plasma,50.0,PE-ALD,exp,31.93896944029586,1.6989700043360187,3.84834824568392,,4.337974548602077e+19,2.0000000000000004e+16,16.30102999566398,2.2417897114734893e-46,37.93971862306491,8.791594990654251e-64,4.903044196720766,3.623737506958607e-06,,,
DOI:10.1016/j.mssp.2021.106471,Mg,5.22,O2_plasma,50.0,PE-ALD,exp,32.07636811938116,1.3010299956639813,3.852445634212397,,5.953395453009947e+19,1e+16,16.0,1.9132061750496046e-46,37.903709014778244,7.495872292052277e-64,4.903044196720766,3.623737506958607e-06,,,
DOI:10.1016/j.matlet.2017.08.032,Mg,4.92,Ar,800.0,RF magnetron sputtering,exp,33.268385800579296,3.6989700043360174,3.6691010979150978,4.1,9.2444564456137e+20,500000000000002.0,14.69897000433602,2.300458600826484e-43,37.83173899083437,8.995999494872115e-61,4.903044196720766,0.0015003372683955092,,,
DOI:10.1016/j.matlet.2017.08.032,Mg,6.88,Ar,800.0,RF magnetron sputtering,exp,33.27764304524188,3.903089986991944,3.6690429958523763,4.1,9.443296419175814e+20,300000000000001.3,14.477121254719664,2.3056346686279704e-43,37.83167563293469,9.016225534560368e-61,4.903044196720766,0.0015003372683955092,,,
DOI:10.1016/j.matlet.2017.08.032,Mg,8.58,Ar,800.0,RF magnetron sputtering,exp,33.27764304524188,3.778151250383644,3.6690429958523763,4.1,9.443296419175814e+20,199999999999999.22,14.30102999566398,2.3056346686279704e-43,37.83167563293469,9.016225534560368e-61,4.903044196720766,0.0015003372683955092,,,
